s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CELLULOSE,MLR_PRODUCTS
 9.0706015E+000, 1.7663984E+002,-5.2732021E+001,-1.4850871E+002,-1.6863587E+000, 4.4750988E-002, 0.0000000E+000, 0.0000000E+000,-2.6556206E+001,-2.6242498E+001, 0.0000000E+000, 1.1441063E-002, 0.0000000E+000
 9.0894175E+000, 1.7676901E+002,-5.2143080E+001,-1.4584067E+002,-1.6569590E+000, 4.4818406E-002, 0.0000000E+000, 0.0000000E+000,-2.4154677E+001,-2.2826888E+001, 0.0000000E+000, 1.1441063E-002, 0.0000000E+000
 9.1082325E+000, 1.7715941E+002,-5.1823181E+001,-1.4332980E+002,-1.6575372E+000, 4.4897693E-002, 0.0000000E+000, 0.0000000E+000,-2.0910040E+001,-1.9606215E+001, 0.0000000E+000, 1.1441063E-002, 0.0000000E+000
 9.1270475E+000, 1.7791424E+002,-5.2096175E+001,-1.4055048E+002,-1.6483025E+000, 4.4860467E-002, 0.0000000E+000, 0.0000000E+000,-1.7615921E+001,-1.6335855E+001, 0.0000000E+000, 1.1441063E-002, 0.0000000E+000
 9.1458626E+000, 1.7775356E+002,-5.1952073E+001,-1.3725043E+002,-1.6215991E+000, 4.4828552E-002, 0.0000000E+000, 0.0000000E+000,-1.4244585E+001,-1.3025708E+001, 0.0000000E+000, 1.1441063E-002, 0.0000000E+000
 9.1646776E+000, 1.7774970E+002,-5.2321101E+001,-1.3351649E+002,-1.6138838E+000, 4.4770324E-002, 0.0000000E+000, 0.0000000E+000,-1.0781050E+001,-9.6570072E+000, 0.0000000E+000, 1.1441063E-002, 0.0000000E+000
 9.1834927E+000, 1.7747498E+002,-5.2456086E+001,-1.2985439E+002,-1.6012605E+000, 4.4735727E-002, 0.0000000E+000, 0.0000000E+000,-7.3386759E+000,-6.3920193E+000, 0.0000000E+000, 1.1441063E-002, 0.0000000E+000
 9.2023087E+000, 1.7705476E+002,-5.2255075E+001,-1.2673079E+002,-1.6160360E+000, 4.4753066E-002, 0.0000000E+000, 0.0000000E+000,-4.1512287E+000,-3.5023948E+000, 0.0000000E+000, 1.1441063E-002, 0.0000000E+000
 9.2211237E+000, 1.7678805E+002,-5.2457155E+001,-1.2416024E+002,-1.6034921E+000, 4.4720870E-002, 0.0000000E+000, 0.0000000E+000,-1.4714154E+000,-1.3881195E+000, 0.0000000E+000, 1.1441063E-002, 0.0000000E+000
 9.2399387E+000, 1.7657849E+002,-5.2361336E+001,-1.2203102E+002,-1.6045284E+000, 4.4707515E-002, 0.0000000E+000, 0.0000000E+000, 3.6612556E-001, 6.2631536E-001, 0.0000000E+000, 1.1441063E-002, 0.0000000E+000
 9.2606354E+000, 1.7514286E+002,-5.1900714E+001,-1.2019630E+002,-1.6057975E+000, 4.4743705E-002, 0.0000000E+000, 0.0000000E+000, 2.1430192E+000, 1.4847878E+000, 0.0000000E+000, 1.1441063E-002, 0.0000000E+000
 9.2813320E+000, 1.7524876E+002,-5.1327407E+001,-1.1913069E+002,-1.6080195E+000, 4.4747253E-002, 0.0000000E+000, 0.0000000E+000, 2.6655716E+000, 3.2273979E+000, 0.0000000E+000, 1.1441063E-002, 0.0000000E+000
 9.3020287E+000, 1.7582249E+002,-5.1068946E+001,-1.1861048E+002,-1.6197233E+000, 4.4723594E-002, 0.0000000E+000, 0.0000000E+000, 3.9933116E+000, 4.5680557E+000, 0.0000000E+000, 1.1441063E-002, 0.0000000E+000
 9.3227253E+000, 1.7591709E+002,-5.1672131E+001,-1.1848993E+002,-1.5917338E+000, 4.4746004E-002, 0.0000000E+000, 0.0000000E+000, 5.0182530E+000, 4.2080418E+000, 0.0000000E+000, 1.1441063E-002, 0.0000000E+000
 9.3434219E+000, 1.7603445E+002,-5.1616352E+001,-1.1833770E+002,-1.6446665E+000, 4.4751967E-002, 0.0000000E+000, 0.0000000E+000, 4.6360868E+000, 4.4804892E+000, 0.0000000E+000, 1.1441063E-002, 0.0000000E+000
 9.3641195E+000, 1.7622495E+002,-5.1421374E+001,-1.1814447E+002,-1.6368183E+000, 4.4765565E-002, 0.0000000E+000, 0.0000000E+000, 4.6671517E+000, 5.0670511E+000, 0.0000000E+000, 1.1441063E-002, 0.0000000E+000
