s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CELLULOSE,MLR_PRODUCTS
 1.0891295E+001, 6.2942635E+002,-3.2543043E+002,-2.5949735E+001,-2.4700741E+000, 1.0840722E-001, 0.0000000E+000, 0.0000000E+000, 1.7726450E+002, 2.7568451E+002, 0.0000000E+000, 4.4705321E-002, 0.0000000E+000
 1.0947639E+001, 6.6489518E+002,-4.9246143E+002,-3.3567277E+001,-4.6812221E+000, 1.2486037E-001, 0.0000000E+000, 0.0000000E+000, 2.6536520E+002, 1.3431010E+002, 0.0000000E+000, 4.4705321E-002, 0.0000000E+000
 1.0996466E+001, 6.7923972E+002,-4.0490793E+002,-3.8546785E+001,-4.9813560E+000, 1.1570999E-001, 0.0000000E+000, 0.0000000E+000, 1.3389322E+002, 2.3091936E+002, 0.0000000E+000, 4.4705321E-002, 0.0000000E+000
 1.1045293E+001, 5.1423815E+002,-3.0830149E+002,-3.3086324E+001,-4.5938282E+000, 1.3946151E-001, 0.0000000E+000, 0.0000000E+000, 2.2886825E+002, 1.6839597E+002, 0.0000000E+000, 4.7009201E-002, 0.0000000E+000
 1.1094119E+001, 3.7943955E+002,-1.6559540E+002,-4.8812641E+001,-6.8612811E+000, 1.3943722E-001, 0.0000000E+000, 0.0000000E+000, 1.6316608E+002, 1.5830966E+002, 0.0000000E+000, 4.9388302E-002, 0.0000000E+000
 1.1142945E+001, 4.8131098E+002,-2.1167137E+002,-5.3848740E+001,-4.8849246E+000, 1.4470732E-001, 0.0000000E+000, 0.0000000E+000, 1.5674760E+002, 2.1105065E+002, 0.0000000E+000, 5.1370887E-002, 0.0000000E+000
 1.1186635E+001, 5.6465971E+002,-2.3281597E+002,-5.5910606E+001,-3.7048409E+000, 1.4537787E-001, 0.0000000E+000, 0.0000000E+000, 2.0612530E+002, 2.7237367E+002, 0.0000000E+000, 5.3353472E-002, 0.0000000E+000
 1.1230325E+001, 5.6841712E+002,-2.2516561E+002,-5.6470048E+001,-3.8275537E+000, 1.5359261E-001, 0.0000000E+000, 0.0000000E+000, 2.6799466E+002, 2.8310749E+002, 0.0000000E+000, 5.5336057E-002, 0.0000000E+000
 1.1266786E+001, 5.6724907E+002,-1.8984130E+002,-7.1722849E+001,-4.5637016E+000, 1.6254944E-001, 0.0000000E+000, 0.0000000E+000, 2.7390682E+002, 3.0128377E+002, 0.0000000E+000, 5.7318642E-002, 0.0000000E+000
 1.1303247E+001, 6.3078496E+002,-2.0160203E+002,-7.5514749E+001,-4.0452525E+000, 1.7497644E-001, 0.0000000E+000, 0.0000000E+000, 3.0050249E+002, 3.4979791E+002, 0.0000000E+000, 5.8904710E-002, 0.0000000E+000
 1.1335041E+001, 7.0742604E+002,-2.4146988E+002,-8.0255487E+001,-4.1899583E+000, 1.8262193E-001, 0.0000000E+000, 0.0000000E+000, 3.4595808E+002, 3.8169333E+002, 0.0000000E+000, 6.0591193E-002, 0.0000000E+000
 1.1366834E+001, 7.8778506E+002,-2.9462098E+002,-8.6839102E+001,-4.5885484E+000, 1.8981189E-001, 0.0000000E+000, 0.0000000E+000, 3.7702967E+002, 4.0192624E+002, 0.0000000E+000, 6.3648563E-002, 0.0000000E+000
 1.1398627E+001, 8.2496709E+002,-2.9371823E+002,-9.4735226E+001,-4.8435351E+000, 1.9823477E-001, 0.0000000E+000, 0.0000000E+000, 3.9871596E+002, 4.3186833E+002, 0.0000000E+000, 6.6635496E-002, 0.0000000E+000
 1.1430421E+001, 8.8049663E+002,-3.0350130E+002,-1.0102842E+002,-5.1785548E+000, 2.0311859E-001, 0.0000000E+000, 0.0000000E+000, 4.3003004E+002, 4.7099147E+002, 0.0000000E+000, 6.9622428E-002, 0.0000000E+000
 1.1458874E+001, 9.5720418E+002,-3.5453959E+002,-1.0527199E+002,-5.7244845E+000, 2.1378794E-001, 0.0000000E+000, 0.0000000E+000, 4.6927384E+002, 4.9188190E+002, 0.0000000E+000, 7.2212843E-002, 0.0000000E+000
 1.1487328E+001, 1.0465607E+003,-4.0102247E+002,-1.1091604E+002,-6.5196065E+000, 2.2068627E-001, 0.0000000E+000, 0.0000000E+000, 4.9258343E+002, 5.2832330E+002, 0.0000000E+000, 7.4803258E-002, 0.0000000E+000
 1.1515780E+001, 1.1327816E+003,-4.5482467E+002,-1.2378684E+002,-8.0318289E+000, 2.2606082E-001, 0.0000000E+000, 0.0000000E+000, 5.2124725E+002, 5.4636436E+002, 0.0000000E+000, 7.6583635E-002, 0.0000000E+000
 1.1540972E+001, 1.1743048E+003,-4.7490289E+002,-1.3406301E+002,-9.1644027E+000, 2.3238554E-001, 0.0000000E+000, 0.0000000E+000, 5.4024842E+002, 5.5640691E+002, 0.0000000E+000, 7.7984499E-002, 0.0000000E+000
 1.1566164E+001, 1.2058547E+003,-4.7848994E+002,-1.4273753E+002,-9.7093197E+000, 2.4013477E-001, 0.0000000E+000, 0.0000000E+000, 5.5347624E+002, 5.7515806E+002, 0.0000000E+000, 7.9385363E-002, 0.0000000E+000
 1.1591356E+001, 1.2525841E+003,-4.9901755E+002,-1.5042000E+002,-1.0240778E+001, 2.4643370E-001, 0.0000000E+000, 0.0000000E+000, 5.7223803E+002, 5.9315216E+002, 0.0000000E+000, 8.0786228E-002, 0.0000000E+000
 1.1616549E+001, 1.2935118E+003,-5.2313779E+002,-1.5622925E+002,-1.0422414E+001, 2.5047546E-001, 0.0000000E+000, 0.0000000E+000, 5.9110178E+002, 6.0397279E+002, 0.0000000E+000, 8.1720137E-002, 0.0000000E+000
 1.1638693E+001, 1.3498359E+003,-5.1969840E+002,-1.6187909E+002,-1.0755900E+001, 2.5585913E-001, 0.0000000E+000, 0.0000000E+000, 6.0290960E+002, 6.5775834E+002, 0.0000000E+000, 8.3121001E-002, 0.0000000E+000
 1.1660837E+001, 1.3762268E+003,-5.3426462E+002,-1.6724954E+002,-1.0996137E+001, 2.5879704E-001, 0.0000000E+000, 0.0000000E+000, 6.5409222E+002, 6.6397527E+002, 0.0000000E+000, 8.4054911E-002, 0.0000000E+000
 1.1682981E+001, 1.3904168E+003,-5.4893107E+002,-1.7575517E+002,-1.2596894E+001, 2.6198007E-001, 0.0000000E+000, 0.0000000E+000, 6.6316892E+002, 6.5339562E+002, 0.0000000E+000, 8.4988821E-002, 0.0000000E+000
 1.1702765E+001, 1.3937005E+003,-5.2880049E+002,-1.7946474E+002,-1.2438063E+001, 2.6699481E-001, 0.0000000E+000, 0.0000000E+000, 6.5935305E+002, 6.7326420E+002, 0.0000000E+000, 8.6389685E-002, 0.0000000E+000
 1.1722548E+001, 1.3824473E+003,-5.2300935E+002,-1.7945078E+002,-1.1851863E+001, 2.7060752E-001, 0.0000000E+000, 0.0000000E+000, 6.7809228E+002, 6.6840595E+002, 0.0000000E+000, 8.7323595E-002, 0.0000000E+000
 1.1742332E+001, 1.3780184E+003,-5.2061430E+002,-1.7815081E+002,-1.1940233E+001, 2.7268343E-001, 0.0000000E+000, 0.0000000E+000, 6.7489577E+002, 6.6758574E+002, 0.0000000E+000, 8.8257504E-002, 0.0000000E+000
 1.1760125E+001, 1.3814693E+003,-4.9596792E+002,-1.7609912E+002,-1.1948797E+001, 2.7546126E-001, 0.0000000E+000, 0.0000000E+000, 6.7346059E+002, 6.9772895E+002, 0.0000000E+000, 8.9191414E-002, 0.0000000E+000
 1.1777917E+001, 1.3648236E+003,-4.9587281E+002,-1.7190881E+002,-1.2282222E+001, 2.7892324E-001, 0.0000000E+000, 0.0000000E+000, 7.0005806E+002, 6.8503867E+002, 0.0000000E+000, 9.0125323E-002, 0.0000000E+000
 1.1795710E+001, 1.3467292E+003,-4.9488922E+002,-1.6742114E+002,-1.3116519E+001, 2.8125016E-001, 0.0000000E+000, 0.0000000E+000, 6.8980513E+002, 6.7158361E+002, 0.0000000E+000, 9.0592278E-002, 0.0000000E+000
 1.1811671E+001, 1.3445058E+003,-4.7503135E+002,-1.7098302E+002,-1.5778123E+001, 2.8464193E-001, 0.0000000E+000, 0.0000000E+000, 6.7330564E+002, 6.8299793E+002, 0.0000000E+000, 9.1526188E-002, 0.0000000E+000
 1.1827633E+001, 1.3361395E+003,-4.7491832E+002,-1.6897435E+002,-1.5709723E+001, 2.8765107E-001, 0.0000000E+000, 0.0000000E+000, 6.8400817E+002, 6.7682474E+002, 0.0000000E+000, 9.2460097E-002, 0.0000000E+000
 1.1843595E+001, 1.3318790E+003,-4.7736149E+002,-1.6829130E+002,-1.6377563E+001, 2.8930754E-001, 0.0000000E+000, 0.0000000E+000, 6.7831613E+002, 6.7013792E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.1859556E+001, 1.3310710E+003,-4.7066641E+002,-1.6531727E+002,-1.6184201E+001, 2.9084549E-001, 0.0000000E+000, 0.0000000E+000, 6.7394668E+002, 6.7919394E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.1873363E+001, 1.3400155E+003,-4.7194934E+002,-1.6202890E+002,-1.6742845E+001, 2.9201678E-001, 0.0000000E+000, 0.0000000E+000, 6.8015631E+002, 6.8958641E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.1887171E+001, 1.3384150E+003,-4.7994374E+002,-1.5794734E+002,-1.7392168E+001, 2.9288820E-001, 0.0000000E+000, 0.0000000E+000, 6.9195534E+002, 6.8342460E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.1900978E+001, 1.3395065E+003,-4.7560033E+002,-1.5312194E+002,-1.7238495E+001, 2.9354521E-001, 0.0000000E+000, 0.0000000E+000, 6.8896808E+002, 6.9383929E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.1914785E+001, 1.3394206E+003,-4.7938419E+002,-1.5003829E+002,-1.7659484E+001, 2.9385169E-001, 0.0000000E+000, 0.0000000E+000, 6.9662418E+002, 6.9263247E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.1928592E+001, 1.3439933E+003,-4.8436200E+002,-1.5317343E+002,-1.8208850E+001, 2.9411116E-001, 0.0000000E+000, 0.0000000E+000, 6.9523567E+002, 6.8854311E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.1942399E+001, 1.3464479E+003,-4.7835921E+002,-1.6194272E+002,-1.8726274E+001, 2.9419710E-001, 0.0000000E+000, 0.0000000E+000, 6.8824880E+002, 6.8771388E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.1954733E+001, 1.3659477E+003,-4.7974073E+002,-1.7340307E+002,-1.8670275E+001, 2.9500871E-001, 0.0000000E+000, 0.0000000E+000, 6.8442985E+002, 6.9442861E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.1967066E+001, 1.3602379E+003,-4.8663282E+002,-1.8962336E+002,-1.8341985E+001, 2.9503792E-001, 0.0000000E+000, 0.0000000E+000, 6.8812415E+002, 6.6593475E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.1979400E+001, 1.3637030E+003,-4.8101127E+002,-2.1151163E+002,-1.8714896E+001, 2.9622820E-001, 0.0000000E+000, 0.0000000E+000, 6.6097921E+002, 6.5276144E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.1991733E+001, 1.3485663E+003,-4.8040355E+002,-2.3810147E+002,-1.8207287E+001, 2.9563442E-001, 0.0000000E+000, 0.0000000E+000, 6.4258589E+002, 6.1214959E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.2004066E+001, 1.3526517E+003,-4.7683821E+002,-2.6923486E+002,-1.8556442E+001, 2.9616530E-001, 0.0000000E+000, 0.0000000E+000, 6.0288049E+002, 5.8831836E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.2016399E+001, 1.3410528E+003,-4.6810094E+002,-3.0511040E+002,-1.9100448E+001, 2.9577093E-001, 0.0000000E+000, 0.0000000E+000, 5.7322643E+002, 5.4903683E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.2028733E+001, 1.3457779E+003,-4.6181991E+002,-3.4287489E+002,-1.8507074E+001, 2.9655932E-001, 0.0000000E+000, 0.0000000E+000, 5.3387733E+002, 5.2287258E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.2041066E+001, 1.3373510E+003,-4.6054430E+002,-3.8546540E+002,-1.8527470E+001, 2.9641901E-001, 0.0000000E+000, 0.0000000E+000, 5.0289734E+002, 4.7311022E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.2053400E+001, 1.3504744E+003,-4.5221175E+002,-4.3175304E+002,-1.8592196E+001, 2.9748114E-001, 0.0000000E+000, 0.0000000E+000, 4.5550779E+002, 4.4821487E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.2065733E+001, 1.3459107E+003,-4.5475983E+002,-4.7822457E+002,-1.8448133E+001, 2.9817499E-001, 0.0000000E+000, 0.0000000E+000, 4.2478979E+002, 3.9477633E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.2076772E+001, 1.3554389E+003,-4.5511213E+002,-5.2066718E+002,-1.8052362E+001, 2.9879959E-001, 0.0000000E+000, 0.0000000E+000, 3.7529907E+002, 3.6190598E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.2087810E+001, 1.3500755E+003,-4.5046749E+002,-5.6352835E+002,-1.7662642E+001, 2.9851037E-001, 0.0000000E+000, 0.0000000E+000, 3.4047197E+002, 3.1871553E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.2098847E+001, 1.3519449E+003,-4.4964057E+002,-6.0758523E+002,-1.8857642E+001, 2.9947663E-001, 0.0000000E+000, 0.0000000E+000, 2.9861962E+002, 2.7616097E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.2109885E+001, 1.3572854E+003,-4.4839507E+002,-6.5333213E+002,-1.8426825E+001, 3.0007878E-001, 0.0000000E+000, 0.0000000E+000, 2.5570318E+002, 2.3743143E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.2120923E+001, 1.3677508E+003,-4.4753003E+002,-7.0120403E+002,-1.8268150E+001, 3.0064610E-001, 0.0000000E+000, 0.0000000E+000, 2.1538367E+002, 2.0104919E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.2131961E+001, 1.3758018E+003,-4.5092628E+002,-7.4899151E+002,-1.8551439E+001, 3.0086352E-001, 0.0000000E+000, 0.0000000E+000, 1.7627598E+002, 1.5763341E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.2141632E+001, 1.3864163E+003,-4.5516747E+002,-7.9051567E+002,-1.9485458E+001, 3.0072391E-001, 0.0000000E+000, 0.0000000E+000, 1.3640940E+002, 1.2154843E+002, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.2151303E+001, 1.3890202E+003,-4.5611856E+002,-8.2983348E+002,-1.9203858E+001, 3.0071779E-001, 0.0000000E+000, 0.0000000E+000, 1.0373928E+002, 8.4164969E+001, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.2160975E+001, 1.3940908E+003,-4.5849213E+002,-8.6727634E+002,-1.8813108E+001, 3.0079079E-001, 0.0000000E+000, 0.0000000E+000, 6.7884659E+001, 4.9810007E+001, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.2170645E+001, 1.3992259E+003,-4.6151235E+002,-9.0224972E+002,-1.9050056E+001, 3.0088246E-001, 0.0000000E+000, 0.0000000E+000, 3.4449497E+001, 1.6714664E+001, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.2180316E+001, 1.4029538E+003,-4.5927734E+002,-9.3348511E+002,-1.8799659E+001, 3.0039068E-001, 0.0000000E+000, 0.0000000E+000, 2.8045659E+000,-8.3079496E+000, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.2189987E+001, 1.4008523E+003,-4.6084105E+002,-9.5797713E+002,-1.8355291E+001, 3.0031517E-001, 0.0000000E+000, 0.0000000E+000,-1.9981831E+001,-3.6020825E+001, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
 1.2199658E+001, 1.4002249E+003,-4.6240550E+002,-9.7900375E+002,-1.9300377E+001, 3.0027713E-001, 0.0000000E+000, 0.0000000E+000,-4.4266938E+001,-6.0184415E+001, 0.0000000E+000, 9.2639743E-002, 0.0000000E+000
