s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CELLULOSE,MLR_PRODUCTS
 3.6592319E+001, 0.0000000E+000,-6.5051279E-001,-4.6378203E+001,-1.0682722E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2732641E+001,-4.8096988E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.7159054E+001, 0.0000000E+000,-5.9082057E-001,-4.4516081E+001,-9.9464977E-001, 1.0000364E-016, 0.0000000E+000, 0.0000000E+000,-5.0768975E+001,-4.6101551E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.7725792E+001, 0.0000000E+000,-5.3337428E-001,-4.2669614E+001,-9.3914779E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8948797E+001,-4.4142136E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.8292530E+001, 0.0000000E+000,-5.9510074E-001,-4.0767819E+001,-1.0701953E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6946826E+001,-4.2433115E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.8859264E+001, 0.0000000E+000,-5.4218027E-001,-3.8977366E+001,-1.0012143E+000,-1.9028615E-016, 0.0000000E+000, 0.0000000E+000,-4.5202890E+001,-4.0520761E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9426003E+001, 0.0000000E+000,-4.9148262E-001,-3.7080884E+001,-8.8551329E-001,-9.3297930E-017, 0.0000000E+000, 0.0000000E+000,-4.3372755E+001,-3.8457880E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9992741E+001, 0.0000000E+000,-5.4331954E-001,-3.4497227E+001,-8.7980099E-001, 9.1563950E-017, 0.0000000E+000, 0.0000000E+000,-4.1028527E+001,-3.5920348E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0559475E+001, 0.0000000E+000,-4.9881174E-001,-3.1430306E+001,-8.0942200E-001, 9.0354684E-017, 0.0000000E+000, 0.0000000E+000,-3.8207427E+001,-3.2738539E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.1126213E+001, 0.0000000E+000,-4.5821610E-001,-2.8373938E+001,-8.0928526E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4939647E+001,-2.9641440E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.1692947E+001, 0.0000000E+000,-5.0030044E-001,-2.5416520E+001,-7.3712067E-001,-8.5813195E-017, 0.0000000E+000, 0.0000000E+000,-3.1769827E+001,-2.6653941E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2259686E+001, 0.0000000E+000,-4.6679085E-001,-2.2672924E+001,-8.0917241E-001, 8.4235180E-017, 0.0000000E+000, 0.0000000E+000,-2.8973552E+001,-2.3948887E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2826424E+001, 0.0000000E+000,-4.3637865E-001,-2.0569060E+001,-7.1615463E-001,-8.2685078E-017, 0.0000000E+000, 0.0000000E+000,-2.6348232E+001,-2.1721594E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.3393158E+001, 0.0000000E+000,-4.7814636E-001,-1.8547792E+001,-6.5619619E-001, 8.1040246E-017, 0.0000000E+000, 0.0000000E+000,-2.4252239E+001,-1.9682134E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.3959896E+001, 0.0000000E+000,-4.5230687E-001,-1.6856683E+001,-6.4492142E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2440307E+001,-1.7953911E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
