s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CELLULOSE,MLR_PRODUCTS
 4.1886967E+001, 0.0000000E+000,-5.7971811E-004,-9.4992064E-002,-8.1085837E-005, 1.7179742E-019, 0.0000000E+000, 0.0000000E+000,-5.0423487E-002,-9.5652868E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.1999866E+001, 0.0000000E+000,-5.6833306E-004,-1.0404096E-001,-7.7661706E-005,-1.1353152E-018, 0.0000000E+000, 0.0000000E+000,-4.9352790E-002,-1.0468695E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2112766E+001, 0.0000000E+000,-5.5722246E-004,-1.1085348E-001,-7.6625020E-005,-4.0884987E-019, 0.0000000E+000, 0.0000000E+000,-4.8180451E-002,-1.1148732E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2225666E+001, 0.0000000E+000,-5.5625835E-004,-1.1524790E-001,-9.9940197E-005, 1.3180162E-019, 0.0000000E+000, 0.0000000E+000,-4.6916399E-002,-1.1590410E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2338566E+001, 0.0000000E+000,-5.4574488E-004,-1.1732081E-001,-9.5391605E-005,-6.3061485E-019, 0.0000000E+000, 0.0000000E+000,-4.5625532E-002,-1.1796195E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2451466E+001, 0.0000000E+000,-5.3554415E-004,-1.1681983E-001,-9.4416570E-005,-1.9055379E-020, 0.0000000E+000, 0.0000000E+000,-4.4285191E-002,-1.1744979E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2564365E+001, 0.0000000E+000,-5.3457300E-004,-1.1386566E-001,-9.2354478E-005,-3.9156784E-019, 0.0000000E+000, 0.0000000E+000,-4.2923396E-002,-1.1449259E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2677265E+001, 0.0000000E+000,-5.2501019E-004,-1.0861678E-001,-9.5244525E-005,-5.7662321E-019, 0.0000000E+000, 0.0000000E+000,-4.1545323E-002,-1.0923704E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2790169E+001, 0.0000000E+000,-5.1576679E-004,-1.0131160E-001,-9.2854986E-005,-1.2041413E-018, 0.0000000E+000, 0.0000000E+000,-4.0171447E-002,-1.0192022E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2903069E+001, 0.0000000E+000,-5.1586616E-004,-9.2078914E-002,-9.0748107E-005,-3.5400402E-020, 0.0000000E+000, 0.0000000E+000,-3.8835649E-002,-9.2685529E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
